Actual(y),Predicted(y),Difference
1.61,2.25991,0.64991
5.00001,4.621255499999993,0.37875450000000654
3.964,3.320540199999999,0.6434598000000009
1.181,1.8732799999999994,0.6922799999999993
0.934,1.1949901000000005,0.26099010000000045
0.807,1.7896300999999997,0.9826300999999996
1.607,1.6366000000000007,0.029600000000000737
1.008,1.0294699999999997,0.021469999999999656
1.661,1.6213699999999995,0.0396300000000005
1.791,1.8016199999999996,0.01061999999999963
2.662,2.436190000000001,0.22580999999999873
0.744,0.9251900000000001,0.18119000000000007
2.875,2.3094801,0.5655199
2.343,2.012530000000001,0.33046999999999915
0.971,0.9868099999999994,0.015809999999999436
3.505,3.178300399999999,0.32669960000000087
2.407,2.8027800000000003,0.39578000000000024
1.391,1.2054600000000004,0.1855399999999996
2.782,2.7142500000000003,0.06774999999999975
0.884,0.8977,0.013700000000000045
5.00001,4.899788599999989,0.10022140000001034
1.083,1.3890301999999994,0.3060301999999995
0.583,0.6625099999999996,0.07950999999999964
0.909,1.1425799999999997,0.23357999999999968
0.589,0.6369200000000004,0.04792000000000041
1.188,2.4158102000000006,1.2278102000000006
1.544,1.6555000000000006,0.1115000000000006
2.045,1.2846300000000002,0.7603699999999998
0.847,0.6620100000000001,0.18498999999999988
0.546,0.6478300000000001,0.10183000000000009
3.5,3.9103107999999964,0.4103107999999964
1.118,1.25977,0.14176999999999995
2.126,2.5160201,0.3900201000000001
0.985,1.5574199999999998,0.5724199999999998
4.746,4.253072799999996,0.492927200000004
0.641,0.7958499999999998,0.15484999999999982
0.875,1.4149100000000001,0.5399100000000001
1.938,1.3537100000000002,0.5842899999999998
1.71,1.7826499999999994,0.07264999999999944
2.403,2.2414899999999993,0.1615100000000007
2.25,2.9864500000000005,0.7364500000000005
1.104,1.5757299999999994,0.4717299999999993
3.75,2.407330500000001,1.342669499999999
0.455,0.4950300000000001,0.040030000000000066
1.544,1.6547600000000005,0.11076000000000041
1.506,1.528950000000001,0.022950000000000914
0.938,1.1862100000000004,0.24821000000000049
0.672,0.72864,0.05663999999999991
0.719,0.9434699999999999,0.22446999999999995
1.438,1.7258700000000002,0.2878700000000003
0.865,0.8734199999999998,0.008419999999999761
1.469,1.7398000000000002,0.27080000000000015
1.281,1.1234199999999999,0.15758000000000005
2.706,2.415619999999999,0.29038000000000075
2.235,2.8708501000000006,0.6358501000000008
1.432,1.4796600000000004,0.04766000000000048
5.00001,4.971399899999989,0.02861010000001052
0.846,0.994599999999999,0.14859999999999907
4.898,3.3602999999999996,1.5377
1.226,1.1876000000000002,0.03839999999999977
3.553,3.4124003999999992,0.1405996000000007
0.966,1.5282999999999995,0.5622999999999996
0.935,0.8260599999999999,0.10894000000000015
1.867,1.79517,0.07183000000000006
1.172,1.2598499999999995,0.08784999999999954
3.213,3.0610899999999996,0.15191000000000043
1.62,1.6268200000000002,0.006820000000000048
1.224,0.8307199999999995,0.3932800000000005
1.189,1.1266100000000008,0.06238999999999928
1.36,1.05707,0.30293000000000014
1.236,1.341299999999999,0.10529999999999906
1.19,1.3642700000000005,0.1742700000000006
0.811,0.7499400000000003,0.06105999999999978
0.636,1.0948300000000004,0.4588300000000004
1.875,1.5577599999999998,0.3172400000000002
0.92,1.0036600000000002,0.08366000000000018
1.17,1.4113500000000017,0.24135000000000173
1.955,2.1770606999999993,0.22206069999999922
1.169,1.7328099999999995,0.5638099999999995
0.567,0.6728199000000004,0.10581990000000041
0.725,0.8495599999999996,0.12455999999999967
2.888,3.523610399999999,0.6356103999999991
1.265,1.3898299999999995,0.12482999999999955
2.676,2.6875701000000025,0.011570100000002359
1.198,1.02539,0.17260999999999993
2.75,2.2218001000000016,0.5281998999999984
0.561,0.6223699999999999,0.061369999999999814
1.513,1.71647,0.20347000000000004
